Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
CSI,CUSP-Me BOX,Me-12086,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12087,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12088,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12089,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12090,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12091,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12092,Wellington Stout Street Building Array (MBIE) Cusp-Me,2014-06-30T12:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12093,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12094,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12095,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12097,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12099,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12101,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12102,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12104,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12105,Wellington Stout Street Building Array (MBIE) Cusp-Me,2014-06-30T12:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12106,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12107,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12108,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12109,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12110,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12111,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12114,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12115,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10000,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10002,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10003,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10004,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10005,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10006,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10007,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10008,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,10009,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11000,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11001,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11002,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11003,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11004,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11005,Avalon East Wing Cuspm,2007-11-02T11:00:01Z,2008-02-04T13:05:00Z
CSI,CUSPM BOX,11006,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11007,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11008,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11009,Avalon East Wing Cuspm,2008-01-08T03:50:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11011,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11012,Avalon East Wing Cuspm,2008-02-04T13:10:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11014,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11019,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11020,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11021,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11022,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11025,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:01:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11026,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11027,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11028,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11030,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11032,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:01:00Z,9999-01-01T00:00:00Z
