Sensor Make,Sensor Model,Serial Number,Mark Code,Installation Date,Removal Date
Trimble,Zephyr 2a (55971-00),1312118317,RGRE,2013-12-16T11:51:00Z,9999-01-01T08:27:13Z
Trimble,Zephyr 2a (55971-00),1312118843,HANM,2014-06-02T16:05:00Z,9998-12-31T21:37:40Z
Trimble,Zephyr 2a (55971-00),1441027085,NLSN,2011-01-25T00:00:01Z,9999-01-01T05:23:41Z
Trimble,Zephyr 2a (55971-00),1441027194,RGHL,2011-11-21T12:22:00Z,9999-01-01T01:56:20Z
Trimble,Zephyr 2a (55971-00),1441027211,WHNG,2010-11-22T08:05:00Z,9998-12-31T22:13:06Z
Trimble,Zephyr 2a (55971-00),1441027245,OROA,2010-11-07T11:10:00Z,9998-12-31T20:23:07Z
Trimble,Zephyr 2a (55971-00),1441027295,MNHR,2011-02-15T13:05:00Z,9999-01-01T07:19:32Z
Trimble,Zephyr 2a (55971-00),1441027338,KAIK,2011-01-27T10:59:00Z,9999-01-01T04:04:26Z
Trimble,Zephyr 2a (55971-00),1441027455,MAVL,2010-12-20T08:48:14Z,2011-07-20T16:30:00Z
Trimble,Zephyr 2a (55971-00),1441027455,GEON,2015-03-31T11:00:01Z,9998-12-31T22:49:16Z
Trimble,Zephyr 2a (55971-00),1441027597,HOKI,2011-02-08T07:13:00Z,9998-12-31T12:12:38Z
Trimble,Zephyr 2a (55971-00),1441027609,GISB,2011-01-18T14:30:00Z,9999-01-01T05:56:58Z
Trimble,Zephyr 2a (55971-00),1441027701,LEXA,2010-12-19T15:56:45Z,9998-12-31T21:03:06Z
Trimble,Zephyr 2a (55971-00),1441027757,LKTA,2011-02-07T12:23:00Z,9999-01-01T09:57:35Z
Trimble,Zephyr 2a (55971-00),1441027758,NPLY,2010-11-23T13:10:00Z,9999-01-01T03:08:59Z
Trimble,Zephyr 2a (55971-00),1441027806,NRSW,2011-01-17T11:00:05Z,9999-01-01T01:47:16Z
Trimble,Zephyr 2a (55971-00),1441028123,2406,2012-02-12T11:50:00Z,9999-01-01T01:38:07Z
Trimble,Zephyr 2a (55971-00),1441028170,TRNG,2010-12-06T12:15:00Z,9999-01-01T01:26:13Z
Trimble,Zephyr 2a (55971-00),1441031099,RAKW,2011-02-15T15:05:00Z,9999-01-01T07:16:38Z
Trimble,Zephyr 2a (55971-00),1441031121,WAIM,2010-11-21T16:55:00Z,9998-12-31T21:19:59Z
Trimble,Zephyr 2a (55971-00),1441031129,WANG,2010-11-03T11:01:00Z,9998-12-31T20:01:34Z
Trimble,Zephyr 2a (55971-00),1441031131,MAKO,2010-11-09T08:35:00Z,9998-12-31T22:08:15Z
Trimble,Zephyr 2a (55971-00),1441031138,MQZG,2011-02-09T10:48:00Z,9999-01-01T09:51:05Z
Trimble,Zephyr 2a (55971-00),1441031160,TRWH,2010-12-01T13:33:00Z,9998-12-31T22:48:56Z
Trimble,Zephyr 2a (55971-00),1441031186,DUND,2010-11-24T10:35:00Z,9999-01-01T00:14:53Z
Trimble,Zephyr 2a (55971-00),1441031192,WGTN,2010-11-14T09:35:00Z,9999-01-01T00:31:58Z
Trimble,Zephyr 2a (55971-00),1441031200,HAST,2010-12-15T09:08:29Z,9998-12-31T22:22:22Z
Trimble,Zephyr 2a (55971-00),1441031205,GLDB,2011-01-24T18:11:00Z,9999-01-01T05:43:10Z
Trimble,Zephyr 2a (55971-00),1441031206,WEST,2011-01-25T14:03:00Z,9999-01-01T04:17:42Z
