Make,Sensor,Datalogger,Serial,Station,Station Cusp3D Start Date,Firmware,Version,Firmware Start Date,Firmware End Date,Notes 
CSI,CUSP3D,CUSP3D,42231,TMDS,2014-10-09T01:30:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42232,FTPS,2014-10-16T22:51:57Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42233,DVHS,2014-11-27T00:00:05Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42235,HOCS,2014-12-04T00:10:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42236,OTKS,2014-12-01T00:10:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42237,WAKS,2014-11-27T00:00:05Z,Cusp3D+r,,2014-11-27T00:00:05Z,2019-09-10T00:00:00Z,Timing error
CSI,CUSP3D,CUSP3D,42237,,,Cusp3D+r,400.74.1,,,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42238,ARKS,2015-02-23T00:00:05Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42239,TFSS,2015-02-26T00:00:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42240,FAHS,2015-03-12T00:00:05Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42247,WVFS,2014-12-17T00:00:05Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42249,KAFS,2014-12-17T00:00:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42250,FKPS,2015-04-14T00:00:05Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42251,ADCS,2015-01-29T23:00:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42252,QCCS,2015-04-23T00:00:05Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42253,MGCS,2015-04-23T02:00:05Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42255,CBGS,2015-04-15T16:15:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42256,OPCS,2015-03-06T00:00:50Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42257,RPCS,2015-03-10T00:00:30Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42258,PNBS,2015-03-12T00:00:05Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42259,REHS,2015-04-17T16:00:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42260,NNBS,2015-06-10T03:40:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
