Make,Sensor,Datalogger,Serial,Station,Location,Azimuth,Method,Dip,Depth,Start Date,End Date
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12017,WQAB,25,10,,0,0,2012-05-15T00:00:01Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12018,WQAB,26,100,,0,0,2012-05-15T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12019,WQAB,27,100,,0,0,2012-05-15T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12020,WQAB,28,100,,0,0,2012-05-15T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12021,MJCB,21,113,,0,7.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12022,MJCB,22,203,,0,7.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12023,MJCB,23,23,,0,5.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12024,MJCB,24,23,,0,5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12025,MJCB,25,293,,0,-2.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12026,MJCB,26,293,,0,-14,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12027,CPIB,2F,0,,0,-15.95,2012-05-15T00:01:00Z,2024-06-12T23:25:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12028,MJCB,27,293,,0,-33,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12029,MJCB,28,23,,0,-51,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12030,MJCB,29,113,,0,-51,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12031,MJCB,2A,293,,0,-66,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12032,MJCB,2F,293,,0,-98,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12033,MJCB,2D,23,,0,-92.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12034,MJCB,2C,293,,0,-92.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12035,MJCB,2B,23,,0,-92.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12036,MJCB,2E,83,,0,-92.5,2011-06-28T00:00:02Z,2023-04-11T02:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12037,NMIB,21,270,,0,0.1,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12038,NMIB,22,270,,0,0,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12039,NMIB,23,0,,0,0,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12040,NMIB,25,0,,0,-4.1,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12041,NMIB,24,90,,0,-3.75,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12042,NMIB,26,0,,0,-7.76,2011-03-21T00:01:00Z,2011-03-22T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12042,NMIB,26,90,,0,-7.76,2011-03-23T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12043,NMIB,28,0,,0,-8.15,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12044,NMIB,27,0,,0,-7.97,2011-03-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12045,NMIB,29,0,,0,-13.67,2011-02-01T00:01:00Z,2011-03-22T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12045,NMIB,29,90,,0,-13.67,2011-03-23T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12046,NMIB,2A,270,,0,0,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12047,WQAB,29,100,,0,0,2012-05-15T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12048,WQAB,2A,100,,0,0,2012-05-15T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12050,CPIB,2G,0,,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12051,CPIB,22,0,,0,2.2,2012-05-15T00:00:00Z,2024-06-12T23:25:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12052,TDFB,21,35,,0,-8.75,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12053,TDFB,20,35,,0,-6.9,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12054,CPIB,23,90,,0,-0.5,2012-05-15T00:00:00Z,2024-06-12T23:25:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12055,CPIB,24,90,,0,-0.5,2012-05-15T00:00:00Z,2024-06-12T23:25:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12056,TDFB,24,35,,0,-7.08,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12057,TDFB,25,35,,0,-7.15,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12058,TDFB,22,35,,0,-7.47,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12059,TDFB,23,35,,0,-7.4,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12060,TDFB,26,35,,0,-9,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12061,TDFB,27,305,,0,0,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12062,TDFB,28,40,,0,-12.35,2011-06-28T00:00:02Z,2023-06-21T23:51:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12064,WQAB,2C,100,,0,0,2012-05-15T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12066,TDFB,29,40,,0,-10.35,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12067,TDFB,2A,40,,0,-10.35,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12068,CPIB,25,90,,0,-4,2012-05-15T00:00:00Z,2024-06-12T23:25:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12069,TDFB,2B,40,,0,-10,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12070,STSB,25,325,,0,-7.644,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12071,STSB,26,325,,0,-11.232,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12073,TDFB,2C,40,,0,-10,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12074,TDFB,2D,40,,0,-12.7,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12075,TDFB,2E,40,,0,-10.4,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
