Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
VGT8,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-27T23:32:26Z,2016-05-09T13:00:00Z
VGTM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2013-05-14T23:00:00Z,2016-04-22T02:28:33Z
VGTM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-22T02:28:34Z,9999-01-01T00:00:00Z
VGTR,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-02-11T00:00:00Z,2016-04-05T23:45:35Z
VGTR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-05T23:45:37Z,9999-01-01T00:00:00Z
VGTS,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-03-17T00:00:00Z,2018-01-24T01:50:59Z
VGTS,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-01-24T01:51:00Z,9999-01-01T00:00:00Z
VGWH,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-02-25T00:00:00Z,2018-05-04T01:35:01Z
VGWH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-05-04T01:35:02Z,9999-01-01T00:00:00Z
VGWN,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-05-18T00:00:00Z,2017-05-01T23:24:37Z
VGWN,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-05-01T23:24:38Z,9999-01-01T00:00:00Z
VGWT,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,geonet,trimble_5700 x5,2005-03-01T00:00:00Z,2005-03-08T00:00:00Z
