Station,Location,Band,Source,Sampling Rate,Axial,Reversed,Triggered,Start Date,End Date
BSWZ,20,H,N,200,false,false,false,2021-07-22T04:06:00Z,9999-01-01T00:00:00Z
BSZ,10,S,H,50,false,false,true,1990-06-20T05:14:00Z,2003-11-27T03:07:00Z
BTWS,20,B,N,50,true,false,false,2015-04-01T00:00:05Z,2020-06-16T00:00:00Z
BTWS,20,H,N,200,true,false,true,2002-10-08T04:00:00Z,9999-01-01T00:00:00Z
BWHS,20,B,N,50,true,false,false,2012-12-18T22:16:05Z,2015-08-27T15:30:00Z
BWHS,20,H,N,200,true,false,true,2012-12-18T22:16:05Z,2015-08-27T15:30:00Z
BWHS,21,B,N,50,true,false,false,2018-02-19T03:10:00Z,2020-06-16T00:00:00Z
BWHS,21,H,N,200,true,false,true,2018-02-19T03:10:00Z,2020-02-08T23:59:59Z
BWHS,21,H,N,200,true,false,false,2020-02-09T00:00:00Z,9999-01-01T00:00:00Z
BWRS,20,B,N,50,true,false,false,2011-08-22T04:05:00Z,2020-06-16T00:00:00Z
BWRS,20,H,N,200,true,false,true,2011-08-22T04:05:00Z,2020-02-08T23:59:59Z
BWRS,20,H,N,200,true,false,false,2020-02-09T00:00:00Z,9999-01-01T00:00:00Z
BWZ,10,S,H,50,false,false,true,1991-02-20T11:46:00Z,2004-06-21T22:39:00Z
CACS,20,B,N,50,true,false,false,2015-06-08T03:52:50Z,2020-06-16T00:00:00Z
CACS,20,H,N,200,true,false,true,1999-09-17T23:00:00Z,2021-04-21T21:57:00Z
CAPE,10,S,H,50,false,false,true,1994-08-05T00:41:00Z,1994-08-25T11:41:00Z
CARD,10,E,H,100,false,false,false,2010-09-04T23:23:02Z,2010-09-29T00:00:00Z
CASA,10,S,H,50,false,false,true,1994-06-19T20:22:00Z,1994-08-06T11:15:00Z
CASM,10,S,H,50,false,false,true,1993-10-18T05:51:00Z,1994-03-11T20:39:00Z
CAW,10,E,H,100,false,false,false,2003-05-20T02:00:00Z,9999-01-01T00:00:00Z
CAW,11,E,H,100,false,false,false,2003-05-20T02:00:00Z,2003-05-20T03:00:00Z
CBGS,20,B,N,50,true,false,false,2015-04-15T16:15:00Z,2020-06-16T00:00:00Z
CBGS,20,H,N,200,true,false,true,1999-09-27T23:00:00Z,2021-05-07T20:01:00Z
CBGS,21,H,N,200,false,false,false,2023-02-23T03:16:00Z,9999-01-01T00:00:00Z
CBGS,22,H,N,200,true,false,false,2023-02-23T03:16:00Z,9999-01-01T00:00:00Z
CBLB,21,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,21,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,21,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,22,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,22,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,22,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,23,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,23,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,23,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,24,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,24,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,24,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,25,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,25,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,25,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,26,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,26,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,26,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,27,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,27,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,27,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,28,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,28,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,28,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,29,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
