Make,Model,Serial,Place,Role,Start Date,End Date
GNS Science,EARSS/3,109,Tiniroto Lakes,Short Period,1993-08-13T06:32:00Z,1993-09-09T01:01:00Z
GNS Science,EARSS/3,109,Maxwell Pass,Short Period,1993-10-19T06:34:00Z,1994-03-11T01:37:00Z
GNS Science,EARSS/3,109,Muriwai,Short Period,1994-07-23T06:01:00Z,1994-12-10T14:59:00Z
GNS Science,EARSS/3,109,Wharenui,Short Period,1995-01-09T13:07:00Z,1995-06-06T14:45:00Z
GNS Science,EARSS/3,109,Matukituki,Short Period,1995-11-12T00:00:00Z,1996-03-24T00:00:00Z
GNS Science,EARSS/3,110,Angora Road,Short Period,1992-03-03T20:46:00Z,1992-04-07T17:01:00Z
GNS Science,EARSS/3,110,Te Anau Control Gates,Short Period,1993-05-22T11:56:00Z,1993-06-03T11:18:00Z
GNS Science,EARSS/3,110,No Man's Creek,Short Period,1993-10-21T02:48:00Z,1994-03-04T00:18:00Z
GNS Science,EARSS/3,110,Top of the Bruce,Short Period,1995-10-03T15:26:00Z,1995-10-22T11:47:00Z
GNS Science,EARSS/3,110,Birch Farm,Short Period,1996-04-03T16:10:00Z,1996-05-01T19:07:00Z
GNS Science,EARSS/3,110,Kidnappers,Short Period,2001-01-30T22:48:00Z,2001-06-24T11:39:00Z
GNS Science,EARSS/3,110,Cranky Creek,Short Period,2001-12-10T03:28:00Z,2001-12-27T02:46:00Z
GNS Science,EARSS/3,111,Te Uri,Short Period,1990-02-20T02:23:00Z,1990-05-17T17:11:00Z
GNS Science,EARSS/3,111,Wairakei A,Short Period,1990-08-10T18:28:00Z,1990-08-19T01:52:00Z
GNS Science,EARSS/3,111,Te Anau Control Gates,Short Period,1993-03-24T04:20:00Z,1993-05-18T20:58:00Z
GNS Science,EARSS/3,111,Supply Bay,Short Period,1993-08-12T05:21:00Z,1993-08-27T00:15:00Z
GNS Science,EARSS/3,111,Molesworth,Short Period,1993-10-18T05:51:00Z,1994-01-25T18:57:00Z
GNS Science,EARSS/3,111,Sugar Loaf,Short Period,1994-04-17T00:54:00Z,1994-05-24T17:59:00Z
GNS Science,EARSS/3,111,Hossock Road Extension,Short Period,1995-01-11T09:47:00Z,1995-02-10T02:17:00Z
GNS Science,EARSS/3,111,Gully Road,Short Period,1995-03-13T05:24:00Z,1995-04-17T11:51:00Z
GNS Science,EARSS/3,111,Tara,Short Period,2001-01-10T10:11:00Z,2001-06-24T00:10:00Z
GNS Science,EARSS/3,112,Maroa,Short Period,1990-02-21T03:18:00Z,1990-02-22T21:30:00Z
GNS Science,EARSS/3,112,Oban DoC Ranger Station,Short Period,1990-09-11T06:29:00Z,1990-09-16T22:56:00Z
GNS Science,EARSS/3,112,Supply Bay,Short Period,1993-03-22T04:51:00Z,1993-06-19T19:26:00Z
GNS Science,EARSS/3,112,Waihopai,Short Period,1993-10-19T06:34:00Z,1994-03-12T01:55:00Z
GNS Science,EARSS/3,112,Lake Pearson,Short Period,1994-06-22T02:04:00Z,1994-07-04T16:59:00Z
GNS Science,EARSS/3,112,Toatoa,Short Period,1994-08-07T11:27:00Z,1994-12-17T20:44:00Z
GNS Science,EARSS/3,112,Ohau,Short Period,1995-11-17T00:00:00Z,1996-04-16T00:00:00Z
GNS Science,EARSS/3,113,Tamaki East,Short Period,1990-05-14T23:42:00Z,1990-05-18T00:46:00Z
GNS Science,EARSS/3,113,White Water River,Short Period,1993-03-20T06:03:00Z,1993-06-25T07:15:00Z
GNS Science,EARSS/3,113,Tauwhareparae School,Short Period,1993-08-12T05:30:00Z,1993-09-08T23:09:00Z
GNS Science,EARSS/3,113,Serpentine Creek,Short Period,1993-10-21T02:48:00Z,1994-03-04T00:18:00Z
GNS Science,EARSS/3,113,Te Kaha,Short Period,1994-08-05T21:49:00Z,1994-11-18T23:08:00Z
GNS Science,EARSS/3,113,Maruia,Short Period,1995-11-11T00:00:00Z,1996-04-22T00:00:00Z
GNS Science,EARSS/3,114,Alfredton,Short Period,1993-02-01T01:22:00Z,1993-02-21T08:48:00Z
GNS Science,EARSS/3,114,Hauroko Burn,Short Period,1993-03-20T13:25:00Z,1993-06-18T20:21:00Z
