Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Kinemetrics,Q330/3,2471,Matarangi Q330,2012-05-22T00:00:01Z,2015-01-09T00:00:00Z
Kinemetrics,Q330/3,2537,Eden Park Q330,2011-08-23T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2542,Whale Island Q330,2011-06-26T20:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2546,Kaikoura North Wharf Q330,2010-05-27T01:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2548,Kereru Q330,2008-05-17T04:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2551,Makara Bunker Q330,2008-04-15T22:00:01Z,2008-04-21T22:00:00Z
Kinemetrics,Q330/3,2551,Castlepoint Station Q330,2009-07-07T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2552,Whakapapataringa Q330,2010-03-25T03:35:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2553,Waiheke Station Q330,2010-07-25T21:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2554,North Cape Q330,2008-12-10T06:10:01Z,2011-09-23T01:00:00Z
Kinemetrics,Q330/3,2554,Rimuhau Hill Q330,2012-08-14T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2555,Castlepoint Tsunami Q330,2009-09-08T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2558,Whatipu Q330,2010-07-15T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2559,Ngongotaha Q330,2011-10-26T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2563,Dunedin Tsunami Q330,2010-02-25T01:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2564,Korotiti Bay Q330,2010-05-09T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2610,Devonport Naval Base Q330,2009-03-26T14:10:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3612,Okains Bay Q330,2012-02-29T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3613,Akaroa Harbour Q330,2012-02-29T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3614,Eyrewell Q330,2012-03-19T00:00:02Z,2013-12-03T00:00:00Z
Kinemetrics,Q330/3,3614,Tokomaru West Road Q330,2013-12-22T00:05:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3615,Logan Vale Farm Q330,2012-01-05T23:05:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3616,Aropaoanui Q330,2012-01-19T22:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3617,Naumai Q330,2012-03-05T22:00:01Z,2013-07-30T00:00:00Z
Kinemetrics,Q330/3,3617,Lake Taylor Station Q330,2013-10-23T05:05:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3618,Tongariro 2 Q330,2012-07-20T21:00:01Z,2012-07-21T03:00:00Z
Kinemetrics,Q330/3,3618,Tongariro 2 Q330,2012-07-27T00:00:01Z,2012-10-12T00:00:00Z
Kinemetrics,Q330/3,3619,Whataroa Gaunt Creek Q330,2012-04-20T00:00:01Z,2012-06-21T00:00:00Z
Kinemetrics,Q330/3,3619,Puketiti Q330,2013-08-07T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3620,"Amberley, Maskells Rd Q330",2012-06-25T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3621,Rakaia Q330,2012-06-25T00:00:04Z,2014-09-18T00:00:00Z
Kinemetrics,Q330/3,3625,Tauhara North Q330,2012-11-27T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,5,Milford Sound Q330,2005-07-19T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,106,Kuaotunu Q330,2004-02-05T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,379,Earnscleugh Q330,2004-11-01T00:00:00Z,2005-09-22T23:59:30Z
Kinemetrics,Q330/6,379,Kereru Q330,2008-04-28T00:00:01Z,2008-05-17T04:00:00Z
Kinemetrics,Q330/6,379,Tolley Road Q330,2009-05-06T20:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,380,Matakaoa Point Q330,2004-02-29T00:00:00Z,2011-08-18T00:00:00Z
Kinemetrics,Q330/6,380,D'Urville Island Q330,2011-12-22T22:00:01Z,2012-02-08T00:05:00Z
Kinemetrics,Q330/6,380,White Island - Summit Q330,2013-04-08T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,386,Kiriroa Q330,2004-02-29T00:00:00Z,2011-08-18T12:00:00Z
Kinemetrics,Q330/6,386,Far West Q330,2015-02-09T23:10:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,387,Far West Q330,2004-10-23T03:00:00Z,2015-02-09T23:00:00Z
Kinemetrics,Q330/6,481,Earnscleugh Q330,2005-09-23T00:00:00Z,2014-11-04T00:00:00Z
Kinemetrics,Q330/6,483,Branch Creek Road Q330,2004-06-03T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/6,498,The Sugar Loaf Quarry Q330,2004-10-13T00:00:00Z,9999-01-01T00:00:00Z
