Mark Code,Network Code,Mark Name,Mark Type,Latitude,Longitude,Height,Datum,Vertical Offset,Dome Number,Plan Reference,Protection,Sky View,Established By,Start Time,End Time
RAHI,CG,Arahi,Nail,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Iron Spike,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Stainless Steel Pin,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAKW,CG,Raukawa,Steel Pin,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Unmarked mark,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Bronze Pin,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Iron Rod,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Lead Plug,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Nail,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Iron Tube,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Iron Spike,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Stainless Steel Pin,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Forced Centering,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAKW,CG,Raukawa,Not Specified,-39.747201862,176.621161167,334.823,WGS84,0,,,,excellent.  nothing over 4?,,2011-02-15T11:00:00Z,9998-12-31T22:30:49Z
RAUL,CG,Raoul Island,Stainless Steel Pin,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Bronze Pin,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Iron Rod,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Iron Spike,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Iron Tube,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Lead Plug,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
