Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
IF14,10,Petone Taurus,0,3,2008-10-08T10:31:00Z,2009-02-12T12:30:00Z
INFR,10,Inferno Crater 130,0,3,2004-07-07T13:47:00Z,2004-07-24T23:00:00Z
INZ,10,Inchbonnie Q330,0,3,2011-01-25T11:05:00Z,2015-05-27T18:00:00Z
INZ,10,Inchbonnie Q330s,0,3,2015-05-27T18:10:00Z,9999-01-01T00:00:00Z
IVVZ,30,Iwikau Village Q330,0,1,2009-01-28T11:00:00Z,9999-01-01T00:00:00Z
JCZ,10,Thirsty Ridge Q330,3,3,2004-06-22T16:20:00Z,9999-01-01T00:00:00Z
JCZ,20,Thirsty Ridge Q330,0,3,2004-06-24T12:00:00Z,9999-01-01T00:00:00Z
KAAZ,10,Kauri Point Q330,0,1,2006-12-11T17:00:01Z,2009-09-07T15:00:00Z
KAHZ,10,Kahuranaki Q330,0,3,2007-06-07T11:00:00Z,9999-01-01T00:00:00Z
KAIT,40,Kaikoura North Wharf Q330,0,1,2010-05-26T13:30:00Z,9999-01-01T00:00:00Z
KAIT,41,Kaikoura North Wharf Q330,1,1,2010-05-26T13:30:00Z,9999-01-01T00:00:00Z
KARC,10,Karaitiana Farm Orion,0,3,2001-01-12T15:01:00Z,2001-06-26T03:50:00Z
KARZ,10,Kaharoa Q330,0,3,2006-07-10T13:00:00Z,9999-01-01T00:00:00Z
KATZ,10,Kakaramea Q330,0,3,2003-04-28T16:00:00Z,9999-01-01T00:00:00Z
KAVZ,10,Karewarewa Q330,0,1,2004-12-03T09:00:00Z,2004-12-14T06:00:00Z
KBAZ,10,Karaka Road Borehole Q330,0,3,2008-11-10T11:00:01Z,9999-01-01T00:00:00Z
KEKS,10,Kekerengu Valley Road Q330s,0,3,2013-07-23T12:00:10Z,2013-07-23T12:00:15Z
KHEZ,10,Kahui Hut Q330,0,3,2009-05-20T15:00:00Z,2014-10-13T15:00:00Z
KHEZ,10,Kahui Hut Q330s,3,3,2014-10-13T15:00:01Z,9999-01-01T00:00:00Z
KHEZ,31,Kahui Hut Q330s,3,1,2014-10-13T15:00:01Z,9999-01-01T00:00:00Z
KHEZ,32,Kahui Hut Q330s,4,1,2014-10-13T15:00:01Z,9999-01-01T00:00:00Z
KHEZ,33,Kahui Hut Q330s,5,1,2014-10-13T15:00:01Z,9999-01-01T00:00:00Z
KHZ,10,Kahutara Q330hr,0,3,2011-02-22T15:05:00Z,9999-01-01T00:00:00Z
KHZ,10,Kahutara Q4120,3,3,2003-08-05T12:00:00Z,2011-02-22T15:00:00Z
KHZ,20,Kahutara Q330hr,3,3,2011-02-22T15:00:01Z,9999-01-01T00:00:00Z
KHZ,20,Kahutara Q4120,0,3,2003-08-05T12:00:00Z,2011-02-22T15:05:00Z
KIW,10,Kapiti Island Q330,0,3,2004-06-09T11:00:00Z,9999-01-01T00:00:00Z
KIWC,10,Kiwitahi Orion,0,3,2001-01-12T01:41:00Z,2001-06-25T05:40:00Z
KMRZ,10,Old Kaimai Road Q330,0,3,2011-03-07T16:00:00Z,9999-01-01T00:00:00Z
KNGC,10,Kaingaroa Forest Orion,0,3,2001-01-11T10:00:01Z,2001-06-26T03:50:00Z
KNZ,10,Kokohu Q330,3,3,2009-04-26T16:00:00Z,9999-01-01T00:00:00Z
KNZ,10,Kokohu Q4120,3,3,1998-10-18T11:00:00Z,2009-04-23T13:00:00Z
KNZ,20,Kokohu Q330,0,3,2009-04-26T15:30:01Z,9999-01-01T00:00:00Z
KNZ,20,Kokohu Q4120,0,3,1999-12-15T09:30:00Z,2009-04-26T15:30:00Z
KOHO,10,Kohika Taurus,0,3,2014-10-14T15:10:00Z,2015-04-10T09:00:00Z
KQ01,10,MRP Kawerau Central Site KQ01 Q330,0,3,2008-06-03T12:00:01Z,9999-01-01T00:00:00Z
KQ01,10,MRP Kawerau Central Site KQ01 Taurus,0,3,2008-02-12T09:00:00Z,2008-06-03T15:00:00Z
KQ02,10,MRP Kawerau South Site KQ02 Q330,0,3,2008-06-11T12:00:02Z,9999-01-01T00:00:00Z
KQ02,10,MRP Kawerau South Site KQ02 Taurus,0,3,2008-02-12T09:30:00Z,2008-03-17T09:46:00Z
KQ03,10,MRP Kawerau East Site KQ03 Q330,0,3,2008-06-19T12:00:02Z,9999-01-01T00:00:00Z
KQ03,10,MRP Kawerau East Site KQ03 Taurus,0,3,2008-02-12T10:00:00Z,2008-03-17T08:20:00Z
KQ04,10,MRP Kawerau West Site KQ04 Q330,0,3,2008-09-09T15:00:00Z,9999-01-01T00:00:00Z
KQ04,10,MRP Kawerau West Site KQ04 Taurus,0,3,2008-05-13T11:58:00Z,2008-06-03T11:00:00Z
KQ05,10,MRP Kawerau North Site KQ05 Q330,0,3,2008-09-04T08:00:03Z,9999-01-01T00:00:00Z
KQB,10,MRP Kawerau Taurus KQB Taurus,0,3,2012-04-03T13:00:00Z,9999-01-01T00:00:00Z
KQD,10,MRP Kawerau Taurus KQD Taurus,0,3,2012-04-03T13:00:00Z,2014-03-12T11:00:00Z
KQE,10,MRP Kawerau Taurus KQE Taurus,0,3,2012-04-03T13:00:00Z,2015-06-22T12:00:00Z
KQF,10,MRP Kawerau Taurus KQF Taurus,0,3,2012-04-03T13:00:00Z,9999-01-01T00:00:00Z
KQG,10,MRP Kawerau Taurus KQG Taurus,0,3,2012-04-03T13:00:00Z,9999-01-01T00:00:00Z
KQH,10,MRP Kawerau Taurus KQH Taurus,0,3,2014-04-09T12:02:00Z,9999-01-01T00:00:00Z
KRHZ,10,Kereru Q330,0,3,2008-04-27T12:01:00Z,9999-01-01T00:00:00Z
KRVZ,10,Karewarewa Q330,0,3,2004-12-03T09:00:00Z,9999-01-01T00:00:00Z
KRVZ,30,Karewarewa Q330,0,1,2012-11-22T07:30:00Z,2012-11-22T08:00:00Z
KRVZ,30,Karewarewa Q330,3,1,2012-11-22T07:30:00Z,9999-01-01T00:00:00Z
KTGO,10,Kaitangata Taurus,0,3,2014-03-14T12:41:00Z,2014-09-10T17:00:00Z
KUTZ,10,Kaahu Road Q330,0,3,2010-04-14T14:00:00Z,9999-01-01T00:00:00Z
KUZ,10,Kuaotunu Q330,3,3,2004-02-04T11:00:00Z,9999-01-01T00:00:00Z
KUZ,20,Kuaotunu Q330,0,3,2004-02-04T11:00:00Z,9999-01-01T00:00:00Z
KWHZ,10,Kaweka Forest Q330,0,3,2010-06-01T15:05:00Z,9999-01-01T00:00:00Z
KYEO,10,Kyeburn Taurus,0,3,2014-09-16T09:20:00Z,2015-04-13T16:00:00Z
LBZ,10,Totara Peak Q330,3,3,2004-06-03T18:20:00Z,2014-10-01T11:05:00Z
LBZ,10,Totara Peak Q330s,0,3,2014-10-01T11:05:01Z,9999-01-01T00:00:00Z
