Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
OTKS,2,"gravel, sand",dense,110,?,Pleistocene alluvium & marine beds,,,,,,,
OUZ,1,,,0,,,,,,,,,
PAPS,1,sand,very loose,5,?,dune sand,,,,,,,
PAPS,2,sand-silt/ gravel,medium dense,45,?,medium dense to dense alluvium,,,,,,,
PEEC,1,silt /gravel,medium dense,,?,silt (0.4m) over greywacke alluvium,,,,,,,
PFAS,1,sandy clay,stiff,1,,weathered alluvium (sandy clay),,,,,,,
PGFS,1,silts & sands,loose,10,>?,soft/ loose-medium dense alluvial silts & sands,,,,,,,
PGMS,1,gravelly sand/ silty clay ,loose,10,,"loose, soft gravelly sand with shells, also silty clay (Hutt alluvium)",,,,,,,
PGMS,2,silty clay ,soft,10,10 to 15,soft to firm blue (Petone marine),,,,,,,
PGMS,3,gravel,dense,50,,Waiwhetu ,,,,,,,
PGMS,4,sands/silts,stiff,20,,Wilford marine,,,,,,,
PGMS,5,gravel,dense,160,,Moera basal gravel,,,,,,,
PHFS,1,,,0,,,,,,,,,
PKIS,1,,,0,,,,,,,,,
PNBS,1,silt over gravels,medium dense,5,>,firm/ medium dense poorly sorted gravels & stones,,,,,,,
POLS,1,sand /silt,firm ,10,,soft/firm-medium dense estuarine sand / silt,,,,,,,100-200
POLS,2,gravel,very stiff,10,,weathered gravel,,,,,,500,
POTS,1,,,0,,,,,,,,,
PPHS,1,fill & top soil,firm,1.2,,,,,,,,,
PPHS,2,fine sand,medium dense,0.3,,,,,,,,,
PPHS,3,Grey Silt,hard,0.3,,,,,,,,,
PPHS,4,Grey Brown sand,dense,0.6,,,,,,,,,
PPHS,5,Grey silt to silty sand & coarse gravel,firm,0.7,,,,,,,,,
PPHS,6,gravelly sand,,0.3,,,,,,,,,
PPHS,7,sand / silt / wood ,stiff,30,+?,fluvial sand / silt / wood (Bromley Fm),,,,,,,
PRPC,1,sand & clay ,medium dense ,26,,firm/ medium dense (ChCh Fm),,,,,,,
PRPC,2,sand & gravel,medium dense,25,,(Burnham Fm),,,,,,,
PRPC,3,sand/ sand & clay,,12,,sand/ sand & clay (Bromley Fm),,,,,,,
PTHS,1,pumice/clay/silt/peat/sand ,loose,20,?,Puhunui Alluvium,,,,,,,
PTHS,2,sandstone,soft,10,?,Tamaki,,,,,,,
PUZ,1,,,0,,,,,,,,,
PXZ,1,,,0,,,,,,,,,
QCCS,1,clay,stiff,3,,completely weathered greywacke,,,,,,,
QRZ,1,,,0,,,,,,,,,
QTPS,1,gravel,medium dense,5,?,lake beach gravel,,,,,,,
QTPS,2,gravel,dense,40,?,glacial outwash gravel,,,,,,,
RDCS,1,gravel & sand,medium dense,20,,Glacial outwash gravel,,,,,,,
REHS,1,"peat, silt & sand",soft,5,,soft / loose,,,,,,,
REHS,2,gravel with sand & silt interbeds ,medium dense,22,,dense/ stiff gravel with sand & silt interbeds (Springston Formation),,,,,,,
REHS,3,silts,very dense,373,,other upper Pleistocene,,,,,,,
REHS,4,silt and clays,stiff ,750,,stiff - very stiff  Lower Pleistocene - Cretaceous marine silts & clay (effective bedrock),,,,,,,
RKAC,1,sandy loess,stiff,3,2-4,,,,,,,,
RKAC,3,gravels,medium dense,,,greywacke,,,,,,,
ROLC,1,"sand, silt/ gravel",medium dense,,?,fluvial gravel from degradation of older gravels (Springston Fm),,,,,,,
ROPS,1,slity sand and clay,loose,18,?,"loose/ soft pumice alluvium, pumice with mud",,,,,,,
ROPS,2,sandstone & mudstone,stiff,42,,"soft to very stiff, partly cemented Huka Group sandstone & mudstone",,,,,,,
