Make,Model,Serial,Number,Notes
Trimble Navigation Ltd.,TRM57971.00,1441040524,14425,calibrated
Trimble Navigation Ltd.,TRM57971.00,1441040527,14279,
Trimble Navigation Ltd.,TRM57971.00,1441040531,14280,
Trimble Navigation Ltd.,TRM57971.00,1441040547,14426,
Trimble Navigation Ltd.,TRM57971.00,1441044187,14285,
Trimble Navigation Ltd.,TRM57971.00,1441047132,14286,calibrated
Trimble Navigation Ltd.,TRM57971.00,1441047151,14287,
Trimble Navigation Ltd.,TRM57971.00,1441047157,14288,
Trimble Navigation Ltd.,TRM57971.00,1441047182,14289,
Trimble Navigation Ltd.,TRM57971.00,1441053350,14427,
Trimble Navigation Ltd.,TRM57971.00,1441053397,14428,Damaged by flying trig monument
Trimble Navigation Ltd.,TRM57971.00,1441107280,14571,
Trimble Navigation Ltd.,TRM57971.00,1441112082,14572,
Trimble Navigation Ltd.,TRM57971.00,1441112085,14573,
Trimble Navigation Ltd.,TRM57971.00,1441112314,14574,Destroyed in Tongariro eruption
Trimble Navigation Ltd.,TRM57971.00,1441112321,14575,
Trimble Navigation Ltd.,TRM57971.00,1441112335,14576,
Trimble Navigation Ltd.,TRM57971.00,1441112520,14577,
Trimble Navigation Ltd.,TRM57971.00,1441116512,14578,
Trimble Navigation Ltd.,TRM57971.00,1441121192,14579,
Trimble Navigation Ltd.,TRM57971.00,1441121516,14580,calibrated
Trimble Navigation Ltd.,TRM57971.00,2312137035,16166,
Trimble Navigation Ltd.,TRM57971.00,2312137038,16353,
Trimble Navigation Ltd.,TRM57971.00,2312137039,16376,
Trimble Navigation Ltd.,TRM57971.00,2312137066,16169,
Trimble Navigation Ltd.,TRM57971.00,2312137084,16347,
Trimble Navigation Ltd.,TRM57971.00,2312137086,16362,
Trimble Navigation Ltd.,TRM57971.00,30889000,13155,
Trimble Navigation Ltd.,TRM57971.00,30895413,13146,
Trimble Navigation Ltd.,TRM57971.00,30895469,13147,
Trimble Navigation Ltd.,TRM57971.00,30895480,13151,
Trimble Navigation Ltd.,TRM57971.00,30895557,13149,
Trimble Navigation Ltd.,TRM57971.00,30895581,13143,
Trimble Navigation Ltd.,TRM57971.00,30895600,13152,
Trimble Navigation Ltd.,TRM57971.00,30895601,13150,
Trimble Navigation Ltd.,TRM57971.00,30895603,13157,
Trimble Navigation Ltd.,TRM57971.00,30895612,13154,
Trimble Navigation Ltd.,TRM57971.00,30895617,13142,
Trimble Navigation Ltd.,TRM57971.00,30895620,13161,
Trimble Navigation Ltd.,TRM57971.00,30895621,13144,
Trimble Navigation Ltd.,TRM57971.00,30895622,13153,
Trimble Navigation Ltd.,TRM57971.00,30895627,13145,
Trimble Navigation Ltd.,TRM57971.00,30895629,13148,
Trimble Navigation Ltd.,TRM57971.00,30895634,13158,
Trimble Navigation Ltd.,TRM57971.00,30895700,13160,
Trimble Navigation Ltd.,TRM57971.00,30895723,13156,
Trimble Navigation Ltd.,TRM57971.00,30895778,13159,
Trimble Navigation Ltd.,TRM57971.00,3121182097,16167,
Trimble Navigation Ltd.,TRM57971.00,3121182106,16168,
Trimble Navigation Ltd.,TRM57971.00,3122171678,16354,
Trimble Navigation Ltd.,TRM57971.00,3122171679,16345,
Trimble Navigation Ltd.,TRM57971.00,3122171715,16346,
Trimble Navigation Ltd.,TRM57971.00,3122171717,16363,
Trimble Navigation Ltd.,TRM57971.00,3122171726,16374,
Trimble Navigation Ltd.,TRM57971.00,3122171737,16360,
Trimble Navigation Ltd.,TRM57971.00,4127561865,16329,
Trimble Navigation Ltd.,TRM57971.00,4127561872,16324,
Trimble Navigation Ltd.,TRM57971.00,4127561877,16352,
Trimble Navigation Ltd.,TRM57971.00,4127561886,16373,
Trimble Navigation Ltd.,TRM57971.00,4127561893,16367,
Trimble Navigation Ltd.,TRM57971.00,4127561896,16377,
Trimble Navigation Ltd.,TRM57971.00,4127561900,16378,
Trimble Navigation Ltd.,TRM57971.00,4127561901,16361,
Trimble Navigation Ltd.,TRM57971.00,4127561906,16351,
Trimble Navigation Ltd.,TRM57971.00,4127561907,16366,
Trimble Navigation Ltd.,TRM57971.00,4127561908,16382,
Trimble Navigation Ltd.,TRM57971.00,4127561911,16371,
Trimble Navigation Ltd.,TRM57971.00,4127561914,16365,
Trimble Navigation Ltd.,TRM57971.00,4127561915,16370,
Trimble Navigation Ltd.,TRM57971.00,4127561917,16368,
Trimble Navigation Ltd.,TRM57971.00,4127561919,16380,
Trimble Navigation Ltd.,TRM57971.00,4127561923,16375,
Trimble Navigation Ltd.,TRM57971.00,4127561924,16369,
Trimble Navigation Ltd.,TRM57971.00,4127561925,16349,
Trimble Navigation Ltd.,TRM57971.00,4127561933,16331,
Trimble Navigation Ltd.,TRM57971.00,4127561935,16327,
Trimble Navigation Ltd.,TRM57971.00,4127561947,16330,
Trimble Navigation Ltd.,TRM57971.00,4127561948,16372,
