Make,Model,Serial,Number,Notes
Canterbury Seismic Instruments,CUSP3B,324,10331x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,325,x10321,
Canterbury Seismic Instruments,CUSP3B,326,x10326,
Canterbury Seismic Instruments,CUSP3B,327,x10319,
Canterbury Seismic Instruments,CUSP3B,328,10370x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,329,10313x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,331,x10312,
Canterbury Seismic Instruments,CUSP3B,332,10314x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,334,10368x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,335,10367x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,336,10371x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,338,10369x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,339,10366,
Canterbury Seismic Instruments,CUSP3B,341,10363x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,342,10364x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,344,10365x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,345,10362x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,357,10315x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,501,,Drowned and corroded
Canterbury Seismic Instruments,CUSP3B,99999,10327x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3C,10400,9854,
Canterbury Seismic Instruments,CUSP3C,10400x,xx10328,
Canterbury Seismic Instruments,CUSP3C,10402,10329,
Canterbury Seismic Instruments,CUSP3C,10403,10330,
Canterbury Seismic Instruments,CUSP3C,10405,10331,
Canterbury Seismic Instruments,CUSP3C,10407,10363y,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3C,10407x,9855,
Canterbury Seismic Instruments,CUSP3C,10407y,xx10307,
Canterbury Seismic Instruments,CUSP3C,10409,9965,
Canterbury Seismic Instruments,CUSP3C,10409x,xx10364,
Canterbury Seismic Instruments,CUSP3C,10410,9857,
Canterbury Seismic Instruments,CUSP3C,10410x,x10365,
Canterbury Seismic Instruments,CUSP3C,10411,9958,
Canterbury Seismic Instruments,CUSP3C,10411x,x10314,
Canterbury Seismic Instruments,CUSP3C,10411y,10368y,Replaced sensor
Canterbury Seismic Instruments,CUSP3C,10414,9961,
Canterbury Seismic Instruments,CUSP3C,10414x,xx10369,
Canterbury Seismic Instruments,CUSP3C,10415,9957,
Canterbury Seismic Instruments,CUSP3C,10415x,xx10370,
Canterbury Seismic Instruments,CUSP3C,10416,9956,
Canterbury Seismic Instruments,CUSP3C,10417,x10308,
Canterbury Seismic Instruments,CUSP3C,10444,10362,
Canterbury Seismic Instruments,CUSP3C,10449,9869,
Canterbury Seismic Instruments,CUSP3C,10450,10323,
Canterbury Seismic Instruments,CUSP3C,10451,9858y,
Canterbury Seismic Instruments,CUSP3C,10453,9959,
Canterbury Seismic Instruments,CUSP3C,10454,10368xx,
Canterbury Seismic Instruments,CUSP3C,10455,9853,
Canterbury Seismic Instruments,CUSP3C,10456,9852,
Canterbury Seismic Instruments,CUSP3C,10457,10324,
Canterbury Seismic Instruments,CUSP3C,10458,10317,
Canterbury Seismic Instruments,CUSP3C,10459,9856,
Canterbury Seismic Instruments,CUSP3C,10461,9858,
Canterbury Seismic Instruments,CUSP3C,10462,9963,
Canterbury Seismic Instruments,CUSP3C,10465,10311,
Canterbury Seismic Instruments,CUSP3C,10467,10327,
Canterbury Seismic Instruments,CUSP3C,30444,10362y,Sensor replaced
Canterbury Seismic Instruments,CUSP3C,30450,10323y,Sensor replaced
Canterbury Seismic Instruments,CUSP3C,40020,14560,
Canterbury Seismic Instruments,CUSP3C3,30428,13978,
Canterbury Seismic Instruments,CUSP3D,42006,14353,
Canterbury Seismic Instruments,CUSP3D,42007,14501,
Canterbury Seismic Instruments,CUSP3D,42008,10367,
Canterbury Seismic Instruments,CUSP3D,42009,14502,
Canterbury Seismic Instruments,CUSP3D,42010,14503,
Canterbury Seismic Instruments,CUSP3D,42011,14504,
Canterbury Seismic Instruments,CUSP3D,42012,14505,
Canterbury Seismic Instruments,CUSP3D,42013,14506,
Canterbury Seismic Instruments,CUSP3D,42014,14507,
Canterbury Seismic Instruments,CUSP3D,42015,14354,
Canterbury Seismic Instruments,CUSP3D,42017,14508,
Canterbury Seismic Instruments,CUSP3D,42018,14355,
Canterbury Seismic Instruments,CUSP3D,42019,14509,
Canterbury Seismic Instruments,CUSP3D,42020,14510,
Canterbury Seismic Instruments,CUSP3D,42021,14511,
